1 35:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,
2 37:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,
3 41:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,
4 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
5 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
6 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
7 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
8 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
9 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
10 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
11 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
12 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
13 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
14 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
15 42:18 in_bounds,34 in_bounds,13 x_and_y_in_range,30 in_bounds,36 in_bounds,31 x_and_y_in_range,7 x_and_y_in_range,32 in_bounds,9 index_small_enough,40 y - x,27 in_bounds,6 index_small_enough,14 in_bounds,2 max_front,42 in_bounds,41 in_bounds,15 index_large_enough,16 y - x,20 max_front,12 in_bounds,10 y - x,39 index_large_enough,8 index_small_enough,37 x_and_y_in_range,5 result_in_range,33 in_bounds,25 x_and_y_in_range,28 in_bounds,26 in_bounds,24 result_is_max,35 in_bounds,17 in_bounds,38 in_bounds,11 in_bounds,29 in_bounds,6 result_is_max,39 in_bounds,18 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
