1 35:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,
2 37:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,
3 41:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,
4 42:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,
5 42:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,
6 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
7 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
8 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
9 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
10 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
11 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
12 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
13 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
14 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
15 43:25 x_and_y_in_range,18 in_bounds,27 in_bounds,5 result_in_range,11 in_bounds,40 y - x,17 in_bounds,12 in_bounds,9 index_small_enough,35 in_bounds,30 in_bounds,13 x_and_y_in_range,31 x_and_y_in_range,37 x_and_y_in_range,32 in_bounds,38 in_bounds,16 y - x,28 in_bounds,14 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,39 index_large_enough,2 max_front,42 in_bounds,33 in_bounds,26 in_bounds,15 index_large_enough,24 result_is_max,10 y - x,34 in_bounds,36 in_bounds,20 max_front,6 index_small_enough,7 x_and_y_in_range,39 in_bounds,6 result_is_max,21 max_back,12 result_is_max,8 max_front,15 max_back,18 result_is_max,39 max_back,
