1 35:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,
2 39:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,
3 41:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,
4 42:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
5 42:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,
6 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
7 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
8 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
9 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
10 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
11 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
12 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
13 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
14 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
15 43:36 in_bounds,34 in_bounds,29 in_bounds,41 in_bounds,5 result_in_range,27 in_bounds,35 in_bounds,32 in_bounds,18 in_bounds,30 in_bounds,16 y - x,25 x_and_y_in_range,14 in_bounds,20 max_front,42 in_bounds,26 in_bounds,31 x_and_y_in_range,12 in_bounds,39 index_large_enough,37 x_and_y_in_range,11 in_bounds,7 x_and_y_in_range,40 y - x,17 in_bounds,8 index_small_enough,13 x_and_y_in_range,9 index_small_enough,38 in_bounds,6 index_small_enough,2 max_front,28 in_bounds,33 in_bounds,24 result_is_max,15 index_large_enough,10 y - x,18 result_is_max,39 in_bounds,6 result_is_max,15 max_back,12 result_is_max,8 max_front,21 max_back,7 max_back,
