1 35:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,
2 39:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,
3 41:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,
4 42:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,
5 42:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,
6 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
7 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
8 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
9 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
10 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
11 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
12 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
13 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
14 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
15 43:38 in_bounds,18 in_bounds,39 index_large_enough,33 in_bounds,36 in_bounds,29 in_bounds,41 in_bounds,8 index_small_enough,34 in_bounds,7 x_and_y_in_range,27 in_bounds,13 x_and_y_in_range,5 result_in_range,32 in_bounds,25 x_and_y_in_range,24 result_is_max,30 in_bounds,16 y - x,42 in_bounds,14 in_bounds,12 in_bounds,6 index_small_enough,10 y - x,15 index_large_enough,9 index_small_enough,37 x_and_y_in_range,2 max_front,11 in_bounds,35 in_bounds,28 in_bounds,40 y - x,26 in_bounds,20 max_front,17 in_bounds,31 x_and_y_in_range,18 result_is_max,6 result_is_max,15 max_back,39 in_bounds,8 max_front,12 result_is_max,21 max_back,16 ,
