1 48:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,
2 53:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,
3 54:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,
4 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
5 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
6 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
7 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
8 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
9 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
10 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
11 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
12 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
13 55:25 in_bounds,2 false_up_to_i,29 in_bounds,7 i_and_j_bounds,22 in_bounds,10 in_bounds,39 in_bounds,11 in_bounds,18 in_bounds,31 i_and_j_bounds,54 true_last,17 in_bounds,19 in_bounds,42 in_bounds,44 false_up_to_i,47 false_first,21 in_bounds,24 in_bounds,32 in_bounds,36 in_bounds,15 in_bounds,12 in_bounds,34 j - i,23 in_bounds,13 in_bounds,13 i_and_j_bounds,26 in_bounds,51 true_from_j,14 in_bounds,4 false_first,16 in_bounds,40 in_bounds,16 j - i,38 in_bounds,8 in_bounds,27 true_from_j,14 false_up_to_i,33 in_bounds,30 in_bounds,9 in_bounds,37 in_bounds,41 in_bounds,28 in_bounds,35 in_bounds,15 true_from_j,20 in_bounds,17 false_first,27 in_bounds,25 i_and_j_bounds,39 true_from_j,42 true_last,26 false_up_to_i,28 j - i,29 false_first,30 true_last,
